GMT,x1950,x1951,x1952,x1953,x1954,x1955,x1956,x1957,x1958,x1959,x1960,x1961,x1962,x1963,x1964,x1965,x1966,x1967,x1968,x1969,x1970,x1971,x1972,x1973,x1974,x1975,x1976,x1977,x1978,x1979,x1980,x1981,x1982,x1983,x1984,x1985,x1986,x1987,x1988,x1989,x1990,x1991,x1992,x1993,x1994,x1995,x1996,x1997,x1998,x1999,x2000,x2001,x2002,x2003,x2004,x2005,x2006,x2007,x2008
1/28/2019 12:00,0.8721,0.8721,0.8721,0.8721,0.8721,0.8721,0.8721,0.8721,0.8721,0.8721,0.8721,0.8721,0.8721,0.8721,0.8721,0.8721,0.8721,0.8721,0.8721,0.8721,0.8721,0.8721,0.8721,0.8721,0.8721,0.8721,0.8721,0.8721,0.8721,0.8721,0.8721,0.8721,0.8721,0.8721,0.8721,0.8721,0.8721,0.8721,0.8721,0.8721,0.8721,0.8721,0.8721,0.8721,0.8721,0.8721,0.8721,0.8721,0.8721,0.8721,0.8721,0.8721,0.8721,0.8721,0.8721,0.8721,0.8721,0.8721,0.8721
1/28/2019 13:00,0.8631,0.8631,0.8631,0.8631,0.8631,0.8631,0.8631,0.8631,0.8631,0.8631,0.8631,0.8631,0.8631,0.8631,0.8631,0.8631,0.8631,0.8631,0.8631,0.8631,0.8631,0.8631,0.8631,0.8631,0.8631,0.8631,0.8631,0.8631,0.8631,0.8631,0.8631,0.8631,0.8631,0.8631,0.8631,0.8631,0.8631,0.8631,0.8631,0.8631,0.8631,0.8631,0.8631,0.8631,0.8631,0.8631,0.8631,0.8631,0.8631,0.8631,0.8631,0.8631,0.8631,0.8631,0.8631,0.8631,0.8631,0.8631,0.8631
1/28/2019 14:00,0.85844,0.85844,0.85844,0.85844,0.85844,0.85844,0.85844,0.85844,0.85844,0.85844,0.85844,0.85844,0.85844,0.85844,0.85844,0.85844,0.85844,0.85844,0.85844,0.85844,0.85844,0.85844,0.85844,0.85844,0.85844,0.85844,0.85844,0.85844,0.85844,0.85844,0.85844,0.85844,0.85844,0.85844,0.85844,0.85844,0.85844,0.85844,0.85844,0.85844,0.85844,0.85844,0.85844,0.85844,0.85844,0.85844,0.85844,0.85844,0.85844,0.85844,0.85844,0.85844,0.85844,0.85844,0.85844,0.85844,0.85844,0.85844,0.85844
1/28/2019 15:00,0.85381,0.85381,0.85381,0.85381,0.85381,0.85381,0.85381,0.85381,0.85381,0.85381,0.85381,0.85381,0.85381,0.85381,0.85381,0.85381,0.85381,0.85381,0.85381,0.85381,0.85381,0.85381,0.85381,0.85381,0.85381,0.85381,0.85381,0.85381,0.85381,0.85381,0.85381,0.85381,0.85381,0.85381,0.85381,0.85381,0.85381,0.85381,0.85381,0.85381,0.85381,0.85381,0.85381,0.85381,0.85381,0.85381,0.85381,0.85381,0.85381,0.85381,0.85381,0.85381,0.85381,0.85381,0.85381,0.85381,0.85381,0.85381,0.85381
1/28/2019 16:00,0.84913,0.84913,0.84913,0.84913,0.84913,0.84913,0.84913,0.84913,0.84913,0.84913,0.84913,0.84913,0.84913,0.84913,0.84913,0.84913,0.84913,0.84913,0.84913,0.84913,0.84913,0.84913,0.84913,0.84913,0.84913,0.84913,0.84913,0.84913,0.84913,0.84913,0.84913,0.84913,0.84913,0.84913,0.84913,0.84913,0.84913,0.84913,0.84913,0.84913,0.84913,0.84913,0.84913,0.84913,0.84913,0.84913,0.84913,0.84913,0.84913,0.84913,0.84913,0.84913,0.84913,0.84913,0.84913,0.84913,0.84918,0.84913,0.84913
1/28/2019 17:00,0.84435,0.84435,0.84435,0.84435,0.84436,0.84435,0.84435,0.84435,0.84436,0.84436,0.84435,0.84436,0.84435,0.84435,0.84435,0.84435,0.84435,0.84435,0.84435,0.84436,0.84435,0.84435,0.84435,0.84435,0.84435,0.84435,0.84435,0.84435,0.84435,0.84435,0.84435,0.84436,0.84435,0.84435,0.84435,0.84435,0.84435,0.84435,0.84435,0.84435,0.84435,0.84435,0.84435,0.84435,0.84435,0.84435,0.84435,0.84435,0.84435,0.84435,0.84435,0.84435,0.84435,0.84435,0.84435,0.84437,0.84483,0.84435,0.84436
1/28/2019 18:00,0.83959,0.83959,0.83959,0.83959,0.83963,0.83959,0.83959,0.83959,0.83961,0.8396,0.83959,0.83961,0.83959,0.83959,0.83959,0.83959,0.83959,0.83959,0.83959,0.8396,0.83959,0.83959,0.83959,0.83959,0.83959,0.83959,0.83959,0.83959,0.83959,0.83959,0.83959,0.83961,0.83959,0.83959,0.83959,0.83959,0.83959,0.83959,0.83959,0.83959,0.83959,0.83959,0.83959,0.83959,0.83959,0.83959,0.83959,0.83959,0.83959,0.83959,0.83959,0.83959,0.83959,0.83959,0.83959,0.83965,0.8414,0.83959,0.8396
1/28/2019 19:00,0.83493,0.83493,0.83493,0.83493,0.83504,0.83494,0.83493,0.83493,0.835,0.83496,0.83494,0.835,0.83493,0.83493,0.83493,0.83494,0.83494,0.83493,0.83493,0.83497,0.83493,0.83494,0.83493,0.83494,0.83493,0.83493,0.83494,0.83493,0.83494,0.83493,0.83493,0.83499,0.83493,0.83493,0.83494,0.83493,0.83493,0.83493,0.83493,0.83493,0.83493,0.83493,0.83494,0.83493,0.83493,0.83493,0.83493,0.83493,0.83494,0.83493,0.83493,0.83493,0.83493,0.83493,0.83493,0.83509,0.83968,0.83493,0.83496
1/28/2019 20:00,0.8304,0.8304,0.8304,0.8304,0.83063,0.83041,0.8304,0.8304,0.83053,0.83045,0.83041,0.83054,0.8304,0.8304,0.8304,0.83041,0.83041,0.8304,0.8304,0.83047,0.8304,0.83041,0.8304,0.83041,0.8304,0.8304,0.83041,0.8304,0.83041,0.8304,0.8304,0.83053,0.8304,0.8304,0.83041,0.8304,0.8304,0.8304,0.8304,0.8304,0.8304,0.8304,0.83041,0.8304,0.8304,0.8304,0.8304,0.8304,0.83041,0.8304,0.8304,0.8304,0.8304,0.8304,0.8304,0.83074,0.84074,0.8304,0.83045
1/28/2019 21:00,0.82591,0.82592,0.82592,0.82592,0.82637,0.82593,0.82592,0.82591,0.82618,0.82602,0.82593,0.82619,0.82592,0.82591,0.82592,0.82593,0.82593,0.82592,0.82591,0.82605,0.82592,0.82593,0.82591,0.82593,0.82592,0.82591,0.82593,0.82592,0.82593,0.82591,0.82592,0.82617,0.82592,0.82592,0.82593,0.82592,0.82592,0.82592,0.82592,0.82592,0.82592,0.82592,0.82593,0.82592,0.82592,0.82592,0.82592,0.82592,0.82593,0.82592,0.82592,0.82592,0.82591,0.82592,0.82592,0.82659,0.84594,0.82592,0.82602
