stage_ft, flow_cfs	
2.53	,	929.47	
2.54	,	939.02	
2.55	,	948.62	
2.56	,	958.28	
2.57	,	968.00	
2.58	,	977.77	
2.59	,	987.59	
2.60	,	997.47	
2.61	,	1007.41	
2.62	,	1017.39	
2.63	,	1027.44	
2.64	,	1037.54	
2.65	,	1047.69	
2.66	,	1057.90	
2.67	,	1068.16	
2.68	,	1078.48	
2.69	,	1088.86	
2.70	,	1099.29	
2.71	,	1109.77	
2.72	,	1120.32	
2.73	,	1130.91	
2.74	,	1141.56	
2.75	,	1152.27	
2.76	,	1163.04	
2.77	,	1173.86	
2.78	,	1184.73	
2.79	,	1195.66	
2.80	,	1206.65	
2.81	,	1217.69	
2.82	,	1228.79	
2.83	,	1239.95	
2.84	,	1251.16	
2.85	,	1262.43	
2.86	,	1273.75	
2.87	,	1285.13	
2.88	,	1296.57	
2.89	,	1308.06	
2.90	,	1319.61	
2.91	,	1331.22	
2.92	,	1342.88	
2.93	,	1354.60	
2.94	,	1366.38	
2.95	,	1378.21	
2.96	,	1390.10	
2.97	,	1402.05	
2.98	,	1414.06	
2.99	,	1426.12	
3.00	,	1438.24	
3.01	,	1450.41	
3.02	,	1462.65	
3.03	,	1474.94	
3.04	,	1487.28	
3.05	,	1499.69	
3.06	,	1512.15	
3.07	,	1524.67	
3.08	,	1537.25	
3.09	,	1549.89	
3.10	,	1562.58	
3.11	,	1575.33	
3.12	,	1588.14	
3.13	,	1601.00	
3.14	,	1613.93	
3.15	,	1626.91	
3.16	,	1639.95	
3.17	,	1653.05	
3.18	,	1666.20	
3.19	,	1679.42	
3.20	,	1692.69	
3.21	,	1706.02	
3.22	,	1719.41	
3.23	,	1732.86	
3.24	,	1746.36	
3.25	,	1759.93	
3.26	,	1773.55	
3.27	,	1787.23	
3.28	,	1800.97	
3.29	,	1814.77	
3.30	,	1828.63	
3.31	,	1842.54	
3.32	,	1856.52	
3.33	,	1870.55	
3.34	,	1884.64	
3.35	,	1898.80	
3.36	,	1913.01	
3.37	,	1927.28	
3.38	,	1941.60	
3.39	,	1955.99	
3.40	,	1970.44	
3.41	,	1984.95	
3.42	,	1999.51	
3.43	,	2014.14	
3.44	,	2028.82	
3.45	,	2043.56	
3.46	,	2058.37	
3.47	,	2073.23	
3.48	,	2088.15	
3.49	,	2103.14	
3.50	,	2118.18	
3.51	,	2133.28	
3.52	,	2148.44	
3.53	,	2163.66	
3.54	,	2178.94	
3.55	,	2194.28	
3.56	,	2209.69	
3.57	,	2225.15	
3.58	,	2240.67	
3.59	,	2256.25	
3.60	,	2271.89	
3.61	,	2287.59	
3.62	,	2303.36	
3.63	,	2319.18	
3.64	,	2335.06	
3.65	,	2351.01	
3.66	,	2367.01	
3.67	,	2383.07	
3.68	,	2399.20	
3.69	,	2415.38	
3.70	,	2431.63	
3.71	,	2445.56	
3.72	,	2458.50	
3.73	,	2471.48	
3.74	,	2484.48	
3.75	,	2497.51	
3.76	,	2510.57	
3.77	,	2523.67	
3.78	,	2536.79	
3.79	,	2549.94	
3.80	,	2563.12	
3.81	,	2576.34	
3.82	,	2589.58	
3.83	,	2602.85	
3.84	,	2616.15	
3.85	,	2629.49	
3.86	,	2642.85	
3.87	,	2656.24	
3.88	,	2669.66	
3.89	,	2683.11	
3.90	,	2696.59	
3.91	,	2710.11	
3.92	,	2723.65	
3.93	,	2737.22	
3.94	,	2750.82	
3.95	,	2764.45	
3.96	,	2778.11	
3.97	,	2791.80	
3.98	,	2805.52	
3.99	,	2819.26	
4.00	,	2833.04	
4.01	,	2846.85	
4.02	,	2860.69	
4.03	,	2874.56	
4.04	,	2888.45	
4.05	,	2902.38	
4.06	,	2916.33	
4.07	,	2930.32	
4.08	,	2944.33	
4.09	,	2958.38	
4.10	,	2972.45	
4.11	,	2986.56	
4.12	,	3000.69	
4.13	,	3014.85	
4.14	,	3029.04	
4.15	,	3043.26	
4.16	,	3057.51	
4.17	,	3071.79	
4.18	,	3086.10	
4.19	,	3100.44	
4.20	,	3114.81	
