forecast_issuance,forecast_time,kcfs
10/21/14 14:44,10/21/14 0:00,-9999
10/21/14 14:44,10/21/14 1:00,-9999
10/21/14 14:44,10/21/14 2:00,-9999
10/21/14 14:44,10/21/14 3:00,-9999
10/21/14 14:44,10/21/14 4:00,-9999
10/21/14 14:44,10/21/14 5:00,-9999
10/21/14 14:44,10/21/14 6:00,-9999
10/21/14 14:44,10/21/14 7:00,-9999
10/21/14 14:44,10/21/14 8:00,-9999
10/21/14 14:44,10/21/14 9:00,-9999
10/21/14 14:44,10/21/14 10:00,-9999
10/21/14 14:44,10/21/14 11:00,-9999
10/21/14 14:44,10/21/14 12:00,-9999
10/21/14 14:44,10/21/14 13:00,-9999
10/21/14 14:44,10/21/14 14:00,-9999
10/21/14 14:44,10/21/14 15:00,0.05
10/21/14 14:44,10/21/14 16:00,0.05
10/21/14 14:44,10/21/14 17:00,0.049
10/21/14 14:44,10/21/14 18:00,0.048
10/21/14 14:44,10/21/14 19:00,0.047
10/21/14 14:44,10/21/14 20:00,0.047
10/21/14 14:44,10/21/14 21:00,0.046
10/21/14 14:44,10/21/14 22:00,0.045
10/21/14 14:44,10/21/14 23:00,0.045
10/21/14 14:44,10/22/14 0:00,0.044
10/21/14 14:44,10/22/14 1:00,0.044
10/21/14 14:44,10/22/14 2:00,0.043
10/21/14 14:44,10/22/14 3:00,0.043
10/21/14 14:44,10/22/14 4:00,0.042
10/21/14 14:44,10/22/14 5:00,0.042
10/21/14 14:44,10/22/14 6:00,0.041
10/21/14 14:44,10/22/14 7:00,0.041
10/21/14 14:44,10/22/14 8:00,0.041
10/21/14 14:44,10/22/14 9:00,0.04
10/21/14 14:44,10/22/14 10:00,0.04
10/21/14 14:44,10/22/14 11:00,0.04
10/21/14 14:44,10/22/14 12:00,0.04
10/21/14 14:44,10/22/14 13:00,0.039
10/21/14 14:44,10/22/14 14:00,0.039
10/21/14 14:44,10/22/14 15:00,0.039
10/21/14 14:44,10/22/14 16:00,0.039
10/21/14 14:44,10/22/14 17:00,0.038
10/21/14 14:44,10/22/14 18:00,0.038
10/21/14 14:44,10/22/14 19:00,0.038
10/21/14 14:44,10/22/14 20:00,0.038
10/21/14 14:44,10/22/14 21:00,0.038
10/21/14 14:44,10/22/14 22:00,0.038
10/21/14 14:44,10/22/14 23:00,0.037
10/21/14 14:44,10/23/14 0:00,0.037
10/21/14 14:44,10/23/14 1:00,0.037
10/21/14 14:44,10/23/14 2:00,0.037
10/21/14 14:44,10/23/14 3:00,0.037
10/21/14 14:44,10/23/14 4:00,0.037
10/21/14 14:44,10/23/14 5:00,0.037
10/21/14 14:44,10/23/14 6:00,0.037
10/21/14 14:44,10/23/14 7:00,0.037
10/21/14 14:44,10/23/14 8:00,0.038
10/21/14 14:44,10/23/14 9:00,0.038
10/21/14 14:44,10/23/14 10:00,0.038
10/21/14 14:44,10/23/14 11:00,0.039
10/21/14 14:44,10/23/14 12:00,0.042
10/21/14 14:44,10/23/14 13:00,0.046
10/21/14 14:44,10/23/14 14:00,0.053
10/21/14 14:44,10/23/14 15:00,0.065
10/21/14 14:44,10/23/14 16:00,0.082
10/21/14 14:44,10/23/14 17:00,0.104
10/21/14 14:44,10/23/14 18:00,0.13
10/21/14 14:44,10/23/14 19:00,0.16
10/21/14 14:44,10/23/14 20:00,0.195
10/21/14 14:44,10/23/14 21:00,0.236
10/21/14 14:44,10/23/14 22:00,0.282
10/21/14 14:44,10/23/14 23:00,0.331
10/21/14 14:44,10/24/14 0:00,0.379
10/21/14 14:44,10/24/14 1:00,0.425
10/21/14 14:44,10/24/14 2:00,0.463
10/21/14 14:44,10/24/14 3:00,0.49
10/21/14 14:44,10/24/14 4:00,0.502
10/21/14 14:44,10/24/14 5:00,0.502
10/21/14 14:44,10/24/14 6:00,0.493
10/21/14 14:44,10/24/14 7:00,0.478
10/21/14 14:44,10/24/14 8:00,0.461
10/21/14 14:44,10/24/14 9:00,0.441
10/21/14 14:44,10/24/14 10:00,0.421
10/21/14 14:44,10/24/14 11:00,0.401
