GMT,x1950,x1951,x1952,x1953,x1954,x1955,x1956,x1957,x1958,x1959,x1960,x1961,x1962,x1963,x1964,x1965,x1966,x1967,x1968,x1969,x1970,x1971,x1972,x1973,x1974,x1975,x1976,x1977,x1978,x1979,x1980,x1981,x1982,x1983,x1984,x1985,x1986,x1987,x1988,x1989,x1990,x1991,x1992,x1993,x1994,x1995,x1996,x1997,x1998,x1999,x2000,x2001,x2002,x2003,x2004,x2005,x2006,x2007,x2008
10/13/2014 12:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/13/2014 13:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/13/2014 14:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/13/2014 15:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/13/2014 16:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/13/2014 17:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/13/2014 18:00,3.53E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05
10/13/2014 19:00,3.53E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05,1.06E-04,3.53E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05,1.06E-04,3.53E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05,7.06E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05,7.06E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05
10/13/2014 20:00,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,1.77E-04,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,2.12E-04,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,1.41E-04,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,1.41E-04,7.06E-05,7.06E-05,7.06E-05,7.06E-05
10/13/2014 21:00,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,2.83E-04,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,1.06E-04,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,3.53E-04,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,1.06E-04,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,2.12E-04,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,2.12E-04,7.06E-05,7.06E-05,7.06E-05,7.06E-05
