forecast_issuance,forecast_time,kcfs
10/22/14 14:49,10/22/14 0:00,-9999
10/22/14 14:49,10/22/14 1:00,-9999
10/22/14 14:49,10/22/14 2:00,-9999
10/22/14 14:49,10/22/14 3:00,-9999
10/22/14 14:49,10/22/14 4:00,-9999
10/22/14 14:49,10/22/14 5:00,-9999
10/22/14 14:49,10/22/14 6:00,-9999
10/22/14 14:49,10/22/14 7:00,-9999
10/22/14 14:49,10/22/14 8:00,-9999
10/22/14 14:49,10/22/14 9:00,-9999
10/22/14 14:49,10/22/14 10:00,-9999
10/22/14 14:49,10/22/14 11:00,-9999
10/22/14 14:49,10/22/14 12:00,-9999
10/22/14 14:49,10/22/14 13:00,-9999
10/22/14 14:49,10/22/14 14:00,-9999
10/22/14 14:49,10/22/14 15:00,0.053
10/22/14 14:49,10/22/14 16:00,0.052
10/22/14 14:49,10/22/14 17:00,0.052
10/22/14 14:49,10/22/14 18:00,0.051
10/22/14 14:49,10/22/14 19:00,0.051
10/22/14 14:49,10/22/14 20:00,0.05
10/22/14 14:49,10/22/14 21:00,0.05
10/22/14 14:49,10/22/14 22:00,0.049
10/22/14 14:49,10/22/14 23:00,0.049
10/22/14 14:49,10/23/14 0:00,0.048
10/22/14 14:49,10/23/14 1:00,0.048
10/22/14 14:49,10/23/14 2:00,0.047
10/22/14 14:49,10/23/14 3:00,0.047
10/22/14 14:49,10/23/14 4:00,0.046
10/22/14 14:49,10/23/14 5:00,0.046
10/22/14 14:49,10/23/14 6:00,0.046
10/22/14 14:49,10/23/14 7:00,0.045
10/22/14 14:49,10/23/14 8:00,0.045
10/22/14 14:49,10/23/14 9:00,0.045
10/22/14 14:49,10/23/14 10:00,0.045
10/22/14 14:49,10/23/14 11:00,0.045
10/22/14 14:49,10/23/14 12:00,0.046
10/22/14 14:49,10/23/14 13:00,0.046
10/22/14 14:49,10/23/14 14:00,0.047
10/22/14 14:49,10/23/14 15:00,0.049
10/22/14 14:49,10/23/14 16:00,0.052
10/22/14 14:49,10/23/14 17:00,0.056
10/22/14 14:49,10/23/14 18:00,0.062
10/22/14 14:49,10/23/14 19:00,0.073
10/22/14 14:49,10/23/14 20:00,0.09
10/22/14 14:49,10/23/14 21:00,0.116
10/22/14 14:49,10/23/14 22:00,0.151
10/22/14 14:49,10/23/14 23:00,0.193
10/22/14 14:49,10/24/14 0:00,0.239
10/22/14 14:49,10/24/14 1:00,0.284
10/22/14 14:49,10/24/14 2:00,0.326
10/22/14 14:49,10/24/14 3:00,0.362
10/22/14 14:49,10/24/14 4:00,0.39
10/22/14 14:49,10/24/14 5:00,0.41
10/22/14 14:49,10/24/14 6:00,0.424
10/22/14 14:49,10/24/14 7:00,0.433
10/22/14 14:49,10/24/14 8:00,0.436
10/22/14 14:49,10/24/14 9:00,0.435
10/22/14 14:49,10/24/14 10:00,0.429
10/22/14 14:49,10/24/14 11:00,0.419
10/22/14 14:49,10/24/14 12:00,0.407
10/22/14 14:49,10/24/14 13:00,0.393
10/22/14 14:49,10/24/14 14:00,0.378
10/22/14 14:49,10/24/14 15:00,0.362
10/22/14 14:49,10/24/14 16:00,0.346
10/22/14 14:49,10/24/14 17:00,0.33
10/22/14 14:49,10/24/14 18:00,0.315
10/22/14 14:49,10/24/14 19:00,0.3
10/22/14 14:49,10/24/14 20:00,0.287
10/22/14 14:49,10/24/14 21:00,0.274
10/22/14 14:49,10/24/14 22:00,0.262
10/22/14 14:49,10/24/14 23:00,0.252
10/22/14 14:49,10/25/14 0:00,0.242
10/22/14 14:49,10/25/14 1:00,0.234
10/22/14 14:49,10/25/14 2:00,0.226
10/22/14 14:49,10/25/14 3:00,0.219
10/22/14 14:49,10/25/14 4:00,0.213
10/22/14 14:49,10/25/14 5:00,0.207
10/22/14 14:49,10/25/14 6:00,0.201
10/22/14 14:49,10/25/14 7:00,0.196
10/22/14 14:49,10/25/14 8:00,0.192
10/22/14 14:49,10/25/14 9:00,0.187
10/22/14 14:49,10/25/14 10:00,0.183
10/22/14 14:49,10/25/14 11:00,0.181
10/22/14 14:49,10/25/14 12:00,0.182
10/22/14 14:49,10/25/14 13:00,0.188
10/22/14 14:49,10/25/14 14:00,0.201
10/22/14 14:49,10/25/14 15:00,0.225
10/22/14 14:49,10/25/14 16:00,0.262
10/22/14 14:49,10/25/14 17:00,0.307
10/22/14 14:49,10/25/14 18:00,0.357
10/22/14 14:49,10/25/14 19:00,0.411
10/22/14 14:49,10/25/14 20:00,0.467
10/22/14 14:49,10/25/14 21:00,0.528
10/22/14 14:49,10/25/14 22:00,0.599
10/22/14 14:49,10/25/14 23:00,0.669
10/22/14 14:49,10/26/14 0:00,0.74
10/22/14 14:49,10/26/14 1:00,0.837
10/22/14 14:49,10/26/14 2:00,0.929
10/22/14 14:49,10/26/14 3:00,1.002
10/22/14 14:49,10/26/14 4:00,1.086
10/22/14 14:49,10/26/14 5:00,1.135
10/22/14 14:49,10/26/14 6:00,1.161
10/22/14 14:49,10/26/14 7:00,1.173
10/22/14 14:49,10/26/14 8:00,1.177
10/22/14 14:49,10/26/14 9:00,1.176
10/22/14 14:49,10/26/14 10:00,1.169
10/22/14 14:49,10/26/14 11:00,1.159
10/22/14 14:49,10/26/14 12:00,1.147
10/22/14 14:49,10/26/14 13:00,1.133
10/22/14 14:49,10/26/14 14:00,1.118
10/22/14 14:49,10/26/14 15:00,1.1
10/22/14 14:49,10/26/14 16:00,1.078
10/22/14 14:49,10/26/14 17:00,1.053
10/22/14 14:49,10/26/14 18:00,1.024
10/22/14 14:49,10/26/14 19:00,0.994
10/22/14 14:49,10/26/14 20:00,0.969
10/22/14 14:49,10/26/14 21:00,0.934
