forecast_issuance,forecast_time,kcfs
10/20/14 14:53,10/20/14 0:00,-9999
10/20/14 14:53,10/20/14 1:00,-9999
10/20/14 14:53,10/20/14 2:00,-9999
10/20/14 14:53,10/20/14 3:00,-9999
10/20/14 14:53,10/20/14 4:00,-9999
10/20/14 14:53,10/20/14 5:00,-9999
10/20/14 14:53,10/20/14 6:00,-9999
10/20/14 14:53,10/20/14 7:00,-9999
10/20/14 14:53,10/20/14 8:00,-9999
10/20/14 14:53,10/20/14 9:00,-9999
10/20/14 14:53,10/20/14 10:00,-9999
10/20/14 14:53,10/20/14 11:00,-9999
10/20/14 14:53,10/20/14 12:00,-9999
10/20/14 14:53,10/20/14 13:00,-9999
10/20/14 14:53,10/20/14 14:00,-9999
10/20/14 14:53,10/20/14 15:00,0.039
10/20/14 14:53,10/20/14 16:00,0.039
10/20/14 14:53,10/20/14 17:00,0.04
10/20/14 14:53,10/20/14 18:00,0.041
10/20/14 14:53,10/20/14 19:00,0.041
10/20/14 14:53,10/20/14 20:00,0.042
10/20/14 14:53,10/20/14 21:00,0.043
10/20/14 14:53,10/20/14 22:00,0.044
10/20/14 14:53,10/20/14 23:00,0.046
10/20/14 14:53,10/21/14 0:00,0.047
10/20/14 14:53,10/21/14 1:00,0.048
10/20/14 14:53,10/21/14 2:00,0.048
10/20/14 14:53,10/21/14 3:00,0.049
10/20/14 14:53,10/21/14 4:00,0.05
10/20/14 14:53,10/21/14 5:00,0.05
10/20/14 14:53,10/21/14 6:00,0.051
10/20/14 14:53,10/21/14 7:00,0.051
10/20/14 14:53,10/21/14 8:00,0.051
10/20/14 14:53,10/21/14 9:00,0.051
10/20/14 14:53,10/21/14 10:00,0.051
10/20/14 14:53,10/21/14 11:00,0.05
10/20/14 14:53,10/21/14 12:00,0.05
10/20/14 14:53,10/21/14 13:00,0.049
10/20/14 14:53,10/21/14 14:00,0.048
10/20/14 14:53,10/21/14 15:00,0.048
10/20/14 14:53,10/21/14 16:00,0.047
10/20/14 14:53,10/21/14 17:00,0.046
10/20/14 14:53,10/21/14 18:00,0.045
10/20/14 14:53,10/21/14 19:00,0.044
10/20/14 14:53,10/21/14 20:00,0.044
10/20/14 14:53,10/21/14 21:00,0.043
10/20/14 14:53,10/21/14 22:00,0.042
10/20/14 14:53,10/21/14 23:00,0.042
10/20/14 14:53,10/22/14 0:00,0.041
10/20/14 14:53,10/22/14 1:00,0.041
10/20/14 14:53,10/22/14 2:00,0.04
10/20/14 14:53,10/22/14 3:00,0.04
10/20/14 14:53,10/22/14 4:00,0.039
10/20/14 14:53,10/22/14 5:00,0.039
10/20/14 14:53,10/22/14 6:00,0.038
10/20/14 14:53,10/22/14 7:00,0.038
10/20/14 14:53,10/22/14 8:00,0.038
10/20/14 14:53,10/22/14 9:00,0.037
10/20/14 14:53,10/22/14 10:00,0.037
10/20/14 14:53,10/22/14 11:00,0.037
10/20/14 14:53,10/22/14 12:00,0.036
10/20/14 14:53,10/22/14 13:00,0.036
10/20/14 14:53,10/22/14 14:00,0.036
10/20/14 14:53,10/22/14 15:00,0.036
10/20/14 14:53,10/22/14 16:00,0.036
10/20/14 14:53,10/22/14 17:00,0.035
10/20/14 14:53,10/22/14 18:00,0.035
10/20/14 14:53,10/22/14 19:00,0.035
10/20/14 14:53,10/22/14 20:00,0.035
10/20/14 14:53,10/22/14 21:00,0.035
10/20/14 14:53,10/22/14 22:00,0.034
10/20/14 14:53,10/22/14 23:00,0.034
10/20/14 14:53,10/23/14 0:00,0.034
10/20/14 14:53,10/23/14 1:00,0.034
10/20/14 14:53,10/23/14 2:00,0.034
10/20/14 14:53,10/23/14 3:00,0.034
10/20/14 14:53,10/23/14 4:00,0.034
10/20/14 14:53,10/23/14 5:00,0.034
10/20/14 14:53,10/23/14 6:00,0.034
10/20/14 14:53,10/23/14 7:00,0.034
10/20/14 14:53,10/23/14 8:00,0.034
10/20/14 14:53,10/23/14 9:00,0.034
10/20/14 14:53,10/23/14 10:00,0.035
10/20/14 14:53,10/23/14 11:00,0.035
10/20/14 14:53,10/23/14 12:00,0.036
10/20/14 14:53,10/23/14 13:00,0.037
10/20/14 14:53,10/23/14 14:00,0.04
10/20/14 14:53,10/23/14 15:00,0.043
10/20/14 14:53,10/23/14 16:00,0.048
10/20/14 14:53,10/23/14 17:00,0.056
10/20/14 14:53,10/23/14 18:00,0.069
10/20/14 14:53,10/23/14 19:00,0.09
10/20/14 14:53,10/23/14 20:00,0.124
10/20/14 14:53,10/23/14 21:00,0.174
10/20/14 14:53,10/23/14 22:00,0.239
10/20/14 14:53,10/23/14 23:00,0.314
10/20/14 14:53,10/24/14 0:00,0.394
10/20/14 14:53,10/24/14 1:00,0.478
10/20/14 14:53,10/24/14 2:00,0.567
10/20/14 14:53,10/24/14 3:00,0.657
10/20/14 14:53,10/24/14 4:00,0.733
10/20/14 14:53,10/24/14 5:00,0.806
10/20/14 14:53,10/24/14 6:00,0.873
10/20/14 14:53,10/24/14 7:00,0.913
10/20/14 14:53,10/24/14 8:00,0.933
10/20/14 14:53,10/24/14 9:00,0.936
10/20/14 14:53,10/24/14 10:00,0.924
10/20/14 14:53,10/24/14 11:00,0.899
10/20/14 14:53,10/24/14 12:00,0.867
10/20/14 14:53,10/24/14 13:00,0.83
10/20/14 14:53,10/24/14 14:00,0.791
10/20/14 14:53,10/24/14 15:00,0.757
10/20/14 14:53,10/24/14 16:00,0.727
10/20/14 14:53,10/24/14 17:00,0.693
10/20/14 14:53,10/24/14 18:00,0.658
10/20/14 14:53,10/24/14 19:00,0.624
10/20/14 14:53,10/24/14 20:00,0.591
10/20/14 14:53,10/24/14 21:00,0.56
10/20/14 14:53,10/24/14 22:00,0.53
10/20/14 14:53,10/24/14 23:00,0.505
10/20/14 14:53,10/25/14 0:00,0.483
10/20/14 14:53,10/25/14 1:00,0.463
10/20/14 14:53,10/25/14 2:00,0.445
10/20/14 14:53,10/25/14 3:00,0.43
10/20/14 14:53,10/25/14 4:00,0.42
10/20/14 14:53,10/25/14 5:00,0.414
10/20/14 14:53,10/25/14 6:00,0.413
10/20/14 14:53,10/25/14 7:00,0.421
10/20/14 14:53,10/25/14 8:00,0.44
10/20/14 14:53,10/25/14 9:00,0.471
